problem,run,seed,arm,FE,IGD
LIRCMOP7_BC,10,10,de20,90000,0.00917364660926598
LIRCMOP7_BC,10,10,de20,100000,0.00881420203668137
LIRCMOP8_BC,1,1,mainline,10000,0.363766817822074
LIRCMOP8_BC,1,1,mainline,20000,0.222573748925028
LIRCMOP8_BC,1,1,mainline,30000,0.133355928189237
LIRCMOP8_BC,1,1,mainline,40000,0.128261868737491
LIRCMOP8_BC,1,1,mainline,50000,0.114996174254447
LIRCMOP8_BC,1,1,mainline,60000,0.0831700206309278
LIRCMOP8_BC,1,1,mainline,70000,0.028600526638072
LIRCMOP8_BC,1,1,mainline,80000,0.00975102727603898
LIRCMOP8_BC,1,1,mainline,90000,0.00863899796864658
LIRCMOP8_BC,1,1,mainline,100000,0.00834878118691461
LIRCMOP8_BC,1,1,de20,10000,1.68512719235078
LIRCMOP8_BC,1,1,de20,20000,0.212375752075444
LIRCMOP8_BC,1,1,de20,30000,0.173743170181338
LIRCMOP8_BC,1,1,de20,40000,0.14122028776799
LIRCMOP8_BC,1,1,de20,50000,0.130331779912917
LIRCMOP8_BC,1,1,de20,60000,0.0152005427484348
LIRCMOP8_BC,1,1,de20,70000,0.0101737478045992
LIRCMOP8_BC,1,1,de20,80000,0.00913136915907911
LIRCMOP8_BC,1,1,de20,90000,0.00909769529224845
LIRCMOP8_BC,1,1,de20,100000,0.00879390943703883
LIRCMOP8_BC,2,2,mainline,10000,1.68544667527629
LIRCMOP8_BC,2,2,mainline,20000,0.319042943586134
LIRCMOP8_BC,2,2,mainline,30000,0.239653941100569
LIRCMOP8_BC,2,2,mainline,40000,0.167896648427014
LIRCMOP8_BC,2,2,mainline,50000,0.0318966015989356
LIRCMOP8_BC,2,2,mainline,60000,0.010665413952255
LIRCMOP8_BC,2,2,mainline,70000,0.00957225419291146
LIRCMOP8_BC,2,2,mainline,80000,0.00918218330423609
LIRCMOP8_BC,2,2,mainline,90000,0.00854013088560652
LIRCMOP8_BC,2,2,mainline,100000,0.00797758864888905
LIRCMOP8_BC,2,2,de20,10000,1.68639799104816
LIRCMOP8_BC,2,2,de20,20000,0.229830124114217
LIRCMOP8_BC,2,2,de20,30000,0.214125234884828
LIRCMOP8_BC,2,2,de20,40000,0.020591210896594
LIRCMOP8_BC,2,2,de20,50000,0.0112904411060243
LIRCMOP8_BC,2,2,de20,60000,0.00980705495583904
LIRCMOP8_BC,2,2,de20,70000,0.00880042976521014
LIRCMOP8_BC,2,2,de20,80000,0.0085517638421911
LIRCMOP8_BC,2,2,de20,90000,0.0084009253452183
LIRCMOP8_BC,2,2,de20,100000,0.00820585922233539
LIRCMOP8_BC,3,3,mainline,10000,1.6858152084116
LIRCMOP8_BC,3,3,mainline,20000,0.158317598776366
LIRCMOP8_BC,3,3,mainline,30000,0.106365652736735
LIRCMOP8_BC,3,3,mainline,40000,0.0825149123787779
LIRCMOP8_BC,3,3,mainline,50000,0.0130145040490582
LIRCMOP8_BC,3,3,mainline,60000,0.00965189939313405
LIRCMOP8_BC,3,3,mainline,70000,0.00889117768978117
