problem,FE,pairs,updates,epochs,movementRMSE,commonRefs,adjacentTargetJump,top10WeightShare,effectiveWeightedPairs,preRMSE,postRMSE,relativeError,noiseRMSE
LIRCMOP5_BC,32400,58,20,5,0.115355081691368,44,0.0880379588470536,0.619726779153043,10.8455872812472,0.0784925394339723,0.0784765552477712,2.93980808340562,0.0116834503503789
LIRCMOP5_BC,32600,57,20,5,0.112294111479838,42,0.0885576585295281,0.547370232734891,11.2592054451584,0.0853891599974802,0.0834131061588422,2.98497831330957,0.0115564391423409
LIRCMOP5_BC,32800,57,20,5,0.106132195508083,43,0.0881947842654401,0.505108902180127,11.5617239349676,0.0854800758350638,0.0852573954729925,3.01545454842517,0.0114757505038253
LIRCMOP5_BC,33000,61,20,5,0.109315849552286,46,0.0858440981739515,0.555884241342958,12.0378274873596,0.0849605484153046,0.0841236679821504,2.84394995768891,0.0113281472908355
LIRCMOP5_BC,33200,58,20,5,0.0985926414069599,54,0.0869562395664093,0.472910102623704,17.5757755988176,0.087910121796618,0.0873482119107073,2.8765424419976,0.0115094408417046
LIRCMOP5_BC,33400,61,20,5,0.103498346662769,50,0.0860260325723594,0.600084049216351,12.3575075346308,0.0853193317161327,0.0850833602255926,3.06508738323316,0.0112848036111609
LIRCMOP5_BC,33800,62,20,5,0.1003165055605,43,0.0847882328059746,0.611651794944973,12.2955708578927,0.0908230626631867,0.0882603343664848,3.16961223484328,0.0115360038422319
LIRCMOP5_BC,34000,62,20,5,0.0962773304743154,45,0.0889207886733997,0.597773058847435,10.7562080436944,0.0836807182250832,0.0835941535794061,2.74467662783784,0.0113376818108623
LIRCMOP5_BC,34200,63,20,5,0.102359021617043,50,0.0810466402945806,0.546770994197386,13.6935311362594,0.0850713467468784,0.0850068360965383,2.86796951337087,0.0111932502943309
LIRCMOP5_BC,34400,64,20,5,0.0856257495603423,53,0.0881677439780593,0.547316589323046,14.1206750345238,0.0830279027442265,0.0830194214028664,2.89885574208781,0.0110827102476166
LIRCMOP5_BC,34600,62,20,5,0.0993853269112644,50,0.0788312742437405,0.546021862033366,11.1644327448511,0.0813722858006459,0.0808044558684973,2.46370534061137,0.0109593099875313
