FE,IGD,HV,guidedCount,problem,stage,mode
52000,0.185161775802657,0.21124518805454,0,LIRCMOP5_BC,middle,de
52200,0.185084800341542,0.211542795387157,0,LIRCMOP5_BC,middle,de
52400,0.184859588440125,0.211879760990756,0,LIRCMOP5_BC,middle,de
52600,0.184843798698607,0.211907004253639,0,LIRCMOP5_BC,middle,de
52800,0.184757207117122,0.211995897741757,0,LIRCMOP5_BC,middle,de
53000,0.157941794926737,0.223052438450139,0,LIRCMOP5_BC,middle,de
53200,0.141322346618268,0.230642524324441,0,LIRCMOP5_BC,middle,de
53400,0.140104104604985,0.231335087323035,0,LIRCMOP5_BC,middle,de
53600,0.139931147460306,0.231497832292421,0,LIRCMOP5_BC,middle,de
53800,0.139806737874071,0.231643340890091,0,LIRCMOP5_BC,middle,de
54000,0.139650858045408,0.231854740618907,0,LIRCMOP5_BC,middle,de
54200,0.128472914604056,0.238278927828989,0,LIRCMOP5_BC,middle,de
54400,0.117746167662245,0.243841444515679,0,LIRCMOP5_BC,middle,de
54600,0.116617312250095,0.244564710884935,0,LIRCMOP5_BC,middle,de
54800,0.11638763254488,0.244854110741471,0,LIRCMOP5_BC,middle,de
55000,0.115752704704009,0.245314259480124,0,LIRCMOP5_BC,middle,de
50000,0.203784195110152,0.198040455295637,0,LIRCMOP5_BC,middle,pair_only
50200,0.190597769527416,0.204299090931859,14,LIRCMOP5_BC,middle,pair_only
50400,0.19039137452366,0.20471615797217,0,LIRCMOP5_BC,middle,pair_only
50600,0.190368811802152,0.204785439202984,0,LIRCMOP5_BC,middle,pair_only
50800,0.190368811802152,0.204785439202984,0,LIRCMOP5_BC,middle,pair_only
51000,0.185858446166652,0.207619053259411,0,LIRCMOP5_BC,middle,pair_only
51200,0.185599602413902,0.208001201480613,0,LIRCMOP5_BC,middle,pair_only
51400,0.185599602413902,0.208007551901953,0,LIRCMOP5_BC,middle,pair_only
51600,0.178110330735719,0.21132157865479,0,LIRCMOP5_BC,middle,pair_only
51800,0.176038903005239,0.212388881862136,0,LIRCMOP5_BC,middle,pair_only
52000,0.175516107856134,0.212902953688375,0,LIRCMOP5_BC,middle,pair_only
52200,0.175363605151289,0.213014149927472,0,LIRCMOP5_BC,middle,pair_only
52400,0.176294819247502,0.21314908510482,0,LIRCMOP5_BC,middle,pair_only
52600,0.176114986138878,0.21332646486952,0,LIRCMOP5_BC,middle,pair_only
52800,0.162554137055758,0.221732119251309,0,LIRCMOP5_BC,middle,pair_only
53000,0.14192479415805,0.230617093076099,0,LIRCMOP5_BC,middle,pair_only
53200,0.141784184833333,0.230661573479515,0,LIRCMOP5_BC,middle,pair_only
53400,0.141784184833333,0.230666442664044,0,LIRCMOP5_BC,middle,pair_only
53600,0.141364098993874,0.230914969022695,0,LIRCMOP5_BC,middle,pair_only
53800,0.13971057950577,0.23210093516657,0,LIRCMOP5_BC,middle,pair_only
54000,0.139479752234866,0.23221090644656,0,LIRCMOP5_BC,middle,pair_only
54200,0.1392396325896,0.232449873421775,0,LIRCMOP5_BC,middle,pair_only
54400,0.13898832629419,0.232791640033156,0,LIRCMOP5_BC,middle,pair_only
54600,0.138735532835721,0.232998940977821,0,LIRCMOP5_BC,middle,pair_only
54800,0.13873246976047,0.233009613813484,0,LIRCMOP5_BC,middle,pair_only
55000,0.117092551384578,0.242470115537725,0,LIRCMOP5_BC,middle,pair_only
80000,0.0231293045717907,0.282353023446592,0,LIRCMOP5_BC,late,raw
80200,0.0230812521226877,0.282358729365395,20,LIRCMOP5_BC,late,raw
80400,0.0230807292677851,0.28236764145748,0,LIRCMOP5_BC,late,raw
80600,0.023038727193584,0.28237188076432,0,LIRCMOP5_BC,late,raw
80800,0.02294348262625,0.282398693902796,0,LIRCMOP5_BC,late,raw
81000,0.0229474193383273,0.282420213195979,0,LIRCMOP5_BC,late,raw
81200,0.0230708997152583,0.282386429689115,0,LIRCMOP5_BC,late,raw
81400,0.0231274001204415,0.282365661781703,0,LIRCMOP5_BC,late,raw
81600,0.0230772279815071,0.282390132288159,0,LIRCMOP5_BC,late,raw
