problem,stage,loss,stream,addedUpdates,reverseFeasibleCoverage,reverseInfeasibleCoverage,f1Offset,f2Offset,f1BaseOffset,f2BaseOffset,f1EnergyOffset,f2EnergyOffset,medianTrueFeasibleNeighborRMS,medianGeneratedFeasibleNeighborRMS
LIRCMOP7_BC,early,adversarial,2,2000,0.131076197554368,0.114490466908539,-0.125128592300867,-0.0641721257419404,-0.00123046033273428,0.000843419561204687,-0.123898131968133,-0.065015545303145,0.0602329952672059,0.00336643276190833
LIRCMOP7_BC,early,adversarial,3,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,adversarial,3,20,0.190407579502584,0.138095986546796,-0.159344241804684,-0.069085294540522,-0.00459162514469102,0.00304041179704174,-0.154752616659993,-0.0721257063375637,0.0602329952672059,0.00190369679609314
LIRCMOP7_BC,early,adversarial,3,200,0.165669699774986,0.112212669564356,-0.192453761767462,-0.0275505912336324,-0.00478367290073072,0.00300346977683935,-0.187670088866731,-0.0305540610104718,0.0602329952672059,0.00199420476219128
LIRCMOP7_BC,early,adversarial,3,2000,0.143463081651846,0.115475064376332,0.0372255126853294,-0.0546826979306371,-0.00147506963273958,0.00101765892637227,0.038700582318069,-0.0557003568570093,0.0602329952672059,0.00442364645620242
LIRCMOP7_BC,early,distance,1,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,distance,1,20,0.305124756659922,0.173349684660687,-0.381715150862384,-0.125341667101884,-0.0047564600318152,0.00279264442334679,-0.376958690830568,-0.128134311525231,0.0602329952672059,0.00165738811869512
LIRCMOP7_BC,early,distance,1,200,0.296972337068078,0.170654076161071,-0.348273533750574,-0.130157931600697,0.000101195038655757,-0.000181977470746326,-0.34837472878923,-0.12997595412995,0.0602329952672059,0.00135848313402543
LIRCMOP7_BC,early,distance,1,2000,0.269090389972027,0.16979847377705,-0.320756522194245,-0.133056346991135,0.00254778354417567,-0.0016605917421234,-0.323304305738421,-0.131395755249011,0.0602329952672059,0.00264706440112612
LIRCMOP7_BC,early,distance,2,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,distance,2,20,0.275340073154384,0.15557465832595,-0.237561596563607,-0.120508460356563,0.00236431291326203,-0.00153314825644452,-0.239925909476869,-0.118975312100119,0.0602329952672059,0.00164561317684931
LIRCMOP7_BC,early,distance,2,200,0.318029592106666,0.179815761028928,-0.382263183512466,-0.133530831557354,-0.00294211607573583,0.00158756971633569,-0.37932106743673,-0.135118401273689,0.0602329952672059,0.00132555667527919
LIRCMOP7_BC,early,distance,2,2000,0.274146900005898,0.168935465496925,-0.36778532472478,-0.126203828557733,-0.00137621507823643,0.000696123210248259,-0.366409109646544,-0.126899951767982,0.0602329952672059,0.00213635524546494
LIRCMOP7_BC,early,distance,3,0,0.320326413259257,0.171324959813343,-0.326902233616456,0.081695568367245,0.00117112637297985,-0.000170561865583502,-0.328073359989436,0.0818661302328285,0.0602329952672059,0.00174453664665148
LIRCMOP7_BC,early,distance,3,20,0.31211727508149,0.16791400264723,-0.392812796399491,-0.116825949468624,0.00103166874936952,-0.000756122015072646,-0.39384446514886,-0.116069827453552,0.0602329952672059,0.00166087900524763
LIRCMOP7_BC,early,distance,3,200,0.307006772974032,0.170369766392756,-0.397853460939248,-0.108803511225703,-0.00427023413748729,0.0024507142329466,-0.393583226801761,-0.111254225458649,0.0602329952672059,0.00136588257988861
LIRCMOP7_BC,early,distance,3,2000,0.243799337802156,0.154915342335685,-0.294594662617534,-0.121738692284382,-0.000741313015525674,0.000314126322719497,-0.293853349602008,-0.122052818607101,0.0602329952672059,0.00212773551939495
LIRCMOP7_BC,late,adversarial,1,0,0.189837627676584,0.130848946065144,-0.168264301742927,-0.233206842487833,0.0118135863505046,-0.0110113195274137,-0.180077888093432,-0.22219552296042,0.0778019086457927,0.00734917400876106
LIRCMOP7_BC,late,adversarial,1,20,0.216034640800789,0.147656428983709,-0.20443712721837,-0.174215990501395,0.0218412599930476,-0.0166701775786765,-0.226278387211417,-0.157545812922718,0.0778019086457927,0.00576686814181027
